Cantidad_plantas,Pileta,Apto_credito,antiguedad,dormitorios,cocheras,baños,ambientes,m2_totales,m2_cubiertos,expenses,price,vivienda,latitud,longitud,precio_m2_cercano
1,no,no,9.0,3.0,1.0,3.0,4.0,98.0,86.0,239000.0,275000.0,Departamento,-34.5771633,-58.4468938,2489.28109313915
1,no,no,0.0,1.0,,1.0,2.0,60.0,48.0,,96000.0,Departamento,-34.6357198,-58.363864,
1,no,no,0.0,3.0,1.0,4.0,7.0,235.0,176.0,,295000.0,Casa,-32.9426605,-60.6695652,2614.705882352941
1,no,no,23.0,3.0,1.0,2.0,5.0,249.0,175.0,,230000.0,Casa,,,
1,no,no,0.0,3.0,3.0,3.0,4.0,240.0,160.0,,199000.0,Casa,-34.6474667,-58.5976392,
1,no,no,0.0,,,1.0,1.0,34.0,30.0,,56000.0,Departamento,-32.94682,-60.63932,1257.9681984002332
1,no,no,95.0,3.0,4.0,4.0,6.0,524.0,260.0,,299000.0,Casa,-32.8770277,-60.6917054,
1,no,no,17.0,2.0,1.0,2.0,3.0,125.0,118.0,703011.0,550000.0,Departamento,-34.60944,-58.36186,4913.194901785166
1,no,no,84.0,3.0,1.0,3.0,6.0,157.0,157.0,517000.0,558000.0,Departamento,-34.58333,-58.4,2623.219659847179
1,no,no,7.0,3.0,1.0,2.0,5.0,442.0,360.0,,490000.0,Casa,-34.5317428,-58.4994775,2831.1688311688313
1,no,no,0.0,3.0,,3.0,4.0,125.0,95.0,,295000.0,Departamento,-34.6396115,-58.5174594,2207.5471698113206
1,no,no,60.0,2.0,,1.0,3.0,80.0,65.0,,99000.0,PH,,,
1,no,no,16.0,1.0,,1.0,2.0,68.0,55.0,,159000.0,Departamento,-34.6068707,-58.4984149,2333.3333333333335
1,no,no,10.0,3.0,2.0,3.0,5.0,800.0,253.0,,450000.0,Casa,-34.0,-64.0,1138.1162201689413
1,no,no,10.0,3.0,1.0,3.0,4.0,323.0,162.0,,285000.0,Casa,-34.651806,-58.6677717,1296.9881751645623
1,no,no,1.0,3.0,5.0,3.0,,310.0,230.0,,300000.0,Casa,-34.0,-64.0,1138.1162201689413
1,no,no,0.0,3.0,,2.0,4.0,300.0,130.0,,275000.0,Casa,-34.65582,-58.65836,1296.9881751645623
1,no,no,10.0,3.0,,1.0,4.0,329.0,200.0,,285000.0,Casa,-34.65582,-58.65836,1296.9881751645623
1,no,no,0.0,3.0,2.0,3.0,4.0,300.0,160.0,,240000.0,Casa,-34.6151483,-58.6955896,1281.4514950432617
1,no,no,10.0,3.0,,2.0,4.0,300.0,175.0,175000.0,249000.0,Casa,-34.6109497,-58.6801137,757.0273515212181
1,no,no,35.0,3.0,,,4.0,300.0,300.0,,255000.0,Casa,-34.6214434,-58.7153731,538.0424746075715
1,no,no,,4.0,6.0,2.0,5.0,259.0,180.0,,250000.0,Casa,-34.65582,-58.65836,1357.6059357823228
1,no,no,4.0,3.0,1.0,2.0,4.0,293.0,120.0,,280000.0,Casa,-34.6486275,-58.6837842,667.8228987228225
1,no,no,0.0,3.0,2.0,2.0,6.0,323.0,170.0,,260000.0,Casa,-34.6056927,-58.6869968,852.7800461663276
1,no,no,,3.0,2.0,3.0,4.0,200.0,180.0,,250000.0,Casa,-34.6201872,-58.7039955,961.5774136610028
1,no,no,30.0,4.0,1.0,3.0,5.0,285.0,190.0,,247000.0,Casa,-34.65582,-58.65836,1296.9881751645623
1,no,no,15.0,3.0,,2.0,4.0,305.0,180.0,1.0,295000.0,Casa,-34.65582,-58.65836,1296.9881751645623
1,no,no,2.0,3.0,1.0,3.0,4.0,214.0,119.0,250000.0,360000.0,Departamento,-34.0,-64.0,1138.1162201689413
1,no,no,40.0,3.0,1.0,3.0,8.0,148.0,125.0,,230000.0,Departamento,-32.94682,-60.63932,1267.268675347769
1,no,no,0.0,2.0,,1.0,3.0,81.0,60.0,,147000.0,PH,-34.653354,-58.521147,
1,no,no,35.0,3.0,1.0,3.0,5.0,370.0,250.0,,330000.0,Casa,-34.6486215,-58.5542092,833.3333333333334
1,no,no,10.0,2.0,1.0,2.0,3.0,80.0,68.0,850000.0,430000.0,Departamento,-34.5709464,-58.4302321,2825.4628489326765
1,no,no,0.0,3.0,2.0,3.0,5.0,650.0,260.0,,340000.0,Casa,,,
1,no,no,15.0,2.0,,1.0,3.0,285.0,85.0,,75000.0,Casa,-32.94682,-60.63932,1396.3582912794902
1,no,no,0.0,2.0,,1.0,3.0,146.0,80.0,,180000.0,PH,-34.5226821,-58.5095256,
1,no,no,0.0,1.0,1.0,2.0,1.0,85.0,65.0,,140000.0,Departamento,,,
1,no,no,0.0,1.0,,1.0,2.0,58.0,58.0,,98000.0,Departamento,-40.7615414,-71.647619,
1,no,no,47.0,4.0,2.0,4.0,5.0,191.0,167.0,832000.0,530000.0,Departamento,-34.5835051,-58.4135288,2996.3788967722962
1,no,no,0.0,1.0,,1.0,2.0,57.0,45.0,,170535.0,Departamento,-34.62264,-58.44104,2483.578936989784
1,no,no,0.0,2.0,,2.0,3.0,138.0,56.0,,206000.0,Departamento,-34.60948,-58.39225,1640.5858729033782
1,no,no,25.0,3.0,2.0,3.0,5.0,1024.0,302.0,494000.0,330000.0,Casa,-34.45761,-58.91385,887.492377176274
1,no,no,7.0,1.0,1.0,1.0,2.0,49.0,43.0,84000.0,115000.0,Departamento,-34.0,-64.0,1138.1162201689413
